country,city,lat,lon,area,cityname
3,3,-34.6374,-58.3954,18762,Buenos Aires
2,2,-33.4202,-70.6426,16883,Santiago
7,967,-12.0631,-77.0828,38089,Lima
13,1010,-0.11215,-78.4756,37166,Quito
16,890,9.92525,-84.0273,40907,San José
19,1759,13.7334,-89.7134,40338,Sonsonate
21,1815,14.6165,-90.5207,40570,Ciudad de Guatemala
22,1840,15.5017,-88.0174,40800,San Pedro Sula
20,1752,12.1397,-86.3076,40347,Managua
1,1,-34.8989,-56.171,15654,Montevideo
17,931,-17.7795,-63.0912,36489,Santa Cruz De La Sierra
18,1165,18.4981,-69.8588,39092,Santo Domingo Este
11,427,8.99357,-79.5127,31105,Ciudad de Panamá
15,431,-25.2865,-57.6453,20046,Asunción
8,8,10.4519,-66.8789,17743,Caracas